认证成功，开始演示批量操作...
批量订阅 1 只股票...
批量订阅请求已发送
2025/06/12 22:26:40 [数据流转] 收到数据: 股票=SZ000815, 类型=4, 数据结构=[]interface {}
2025/06/12 22:26:40 [数据流转] 逐笔成交数据为数组格式，长度: 1500
2025/06/12 22:26:40 [数据流转] 成功解析 1500 条逐笔成交记录
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -200, 时间: 09:25:00, 成交ID: 196
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 197
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 198
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 199
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 200
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -3000, 时间: 09:25:00, 成交ID: 201
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -700, 时间: 09:25:00, 成交ID: 202
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -2500, 时间: 09:25:00, 成交ID: 203
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -800, 时间: 09:25:00, 成交ID: 204
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -800, 时间: 09:25:00, 成交ID: 205
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 206
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -7700, 时间: 09:25:00, 成交ID: 207
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 200, 时间: 09:25:00, 成交ID: 208
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 1000, 时间: 09:25:00, 成交ID: 209
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 210
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1100, 时间: 09:25:00, 成交ID: 211
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -800, 时间: 09:25:00, 成交ID: 212
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -500, 时间: 09:25:00, 成交ID: 213
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -2000, 时间: 09:25:00, 成交ID: 214
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 215
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1700, 时间: 09:25:00, 成交ID: 216
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -600, 时间: 09:25:00, 成交ID: 217
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -200, 时间: 09:25:00, 成交ID: 218
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -900, 时间: 09:25:00, 成交ID: 219
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -500, 时间: 09:25:00, 成交ID: 220
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 600, 时间: 09:25:00, 成交ID: 221
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 3800, 时间: 09:25:00, 成交ID: 222
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 223
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -900, 时间: 09:25:00, 成交ID: 224
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -500, 时间: 09:25:00, 成交ID: 225
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -1000, 时间: 09:25:00, 成交ID: 226
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -200, 时间: 09:25:00, 成交ID: 227
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -400, 时间: 09:25:00, 成交ID: 228
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: -100, 时间: 09:25:00, 成交ID: 229
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 400, 时间: 09:25:00, 成交ID: 230
[逐笔成交] 股票: SZ000815, 价格: 13.1100, 成交量: 100, 时间: 09:25:00, 成交ID: 231
